latitude,longitude,count
40.684,-73.77,15.0
40.684,-73.919,15.0
40.684,-73.859,5.0
40.684,-73.989,10.0
40.684,-73.817,6.0
40.684,-73.862,2.0
40.684,-73.95,15.0
40.684,-73.963,5.0
40.684,-73.834,7.0
40.684,-73.871,9.0
40.684,-73.831,2.0
40.684,-73.794,3.0
40.684,-73.884,4.0
40.684,-73.837,12.0
40.684,-73.843,3.0
40.684,-73.978,159.0
40.684,-73.829,6.0
40.684,-73.913,12.0
40.684,-73.798,1.0
40.684,-73.971,33.0
40.684,-73.867,8.0
40.684,-73.969,2.0
40.684,-73.789,5.0
40.684,-73.821,3.0
40.684,-73.977,80.0
40.684,-73.984,7.0
40.684,-73.916,30.0
40.684,-73.761,4.0
40.684,-74.001,10.0
40.684,-73.876,19.0
40.684,-73.949,14.0
40.684,-73.823,1.0
40.684,-73.771,3.0
40.684,-73.881,7.0
40.684,-73.98,6.0
40.684,-73.934,2.0
40.684,-73.856,4.0
40.684,-73.732,2.0
40.684,-73.822,6.0
40.684,-73.943,9.0
40.684,-73.754,2.0
40.684,-73.99,15.0
40.684,-73.94,17.0
40.684,-73.791,6.0
40.684,-73.783,30.0
40.684,-73.872,20.0
40.684,-73.925,8.0
40.684,-73.929,7.0
40.684,-73.912,8.0
40.684,-73.967,12.0
40.684,-73.994,4.0
40.684,-73.81,3.0
40.684,-73.926,2.0
40.684,-73.956,10.0
40.684,-73.928,13.0
40.684,-73.907,10.0
40.684,-73.836,11.0
40.684,-74.0,32.0
40.684,-73.988,32.0
40.684,-73.793,2.0
40.684,-73.964,4.0
40.684,-73.96,4.0
40.684,-73.799,4.0
40.684,-73.987,10.0
40.684,-73.832,6.0
40.684,-73.962,9.0
40.684,-73.857,4.0
40.684,-73.848,2.0
40.684,-73.935,3.0
40.684,-73.938,4.0
40.684,-73.825,6.0
40.684,-73.751,3.0
40.684,-73.894,3.0
40.684,-73.883,5.0
40.684,-73.759,1.0
40.684,-73.815,5.0
40.684,-73.87,8.0
40.684,-73.776,7.0
40.684,-73.937,7.0
40.684,-73.809,3.0
40.684,-73.788,3.0
40.684,-73.731,1.0
40.684,-73.965,4.0
40.684,-73.979,32.0
40.684,-73.944,6.0
40.684,-73.921,9.0
40.684,-73.997,2.0
40.684,-73.819,8.0
40.684,-73.972,2.0
40.684,-73.762,1.0
40.684,-73.952,4.0
40.684,-73.882,7.0
40.684,-73.801,8.0
40.684,-74.004,1.0
40.684,-73.88,9.0
40.684,-73.828,2.0
40.684,-73.78,1.0
40.684,-73.932,3.0
40.684,-73.91,2.0
40.684,-73.968,6.0
40.684,-73.914,1.0
40.684,-73.879,6.0
40.684,-73.772,1.0
40.684,-73.865,3.0
40.684,-73.779,1.0
40.684,-73.766,1.0
40.684,-73.808,2.0
40.684,-73.941,3.0
40.684,-73.909,7.0
40.684,-73.763,4.0
40.684,-73.833,5.0
40.684,-73.847,5.0
40.684,-73.852,2.0
40.684,-73.955,3.0
40.684,-73.866,11.0
40.684,-73.83,5.0
40.684,-73.915,4.0
40.684,-73.983,11.0
40.684,-73.995,1.0
40.684,-73.954,3.0
40.684,-73.85,3.0
40.684,-73.917,5.0
40.684,-73.835,5.0
40.684,-73.839,1.0
40.684,-73.802,3.0
40.684,-73.845,3.0
40.684,-73.807,5.0
40.684,-73.764,1.0
40.684,-73.874,1.0
40.684,-73.785,10.0
40.684,-73.923,1.0
40.684,-73.84,2.0
40.684,-73.982,3.0
40.684,-73.908,4.0
40.684,-73.991,9.0
40.684,-73.795,1.0
40.684,-73.922,1.0
40.684,-73.911,5.0
40.684,-73.844,4.0
40.684,-73.985,1.0
40.684,-73.92,2.0
40.684,-73.961,5.0
40.684,-73.864,1.0
40.684,-73.816,2.0
40.684,-73.873,4.0
40.684,-74.006,1.0
40.684,-73.778,3.0
40.684,-73.89,3.0
40.684,-73.886,2.0
40.684,-73.818,1.0
40.684,-73.885,4.0
40.684,-73.758,1.0
40.684,-73.868,3.0
40.684,-73.854,1.0
40.684,-73.891,2.0
40.684,-73.973,3.0
40.684,-73.82,4.0
40.684,-74.007,2.0
40.684,-73.945,4.0
40.684,-73.767,3.0
40.684,-73.998,1.0
40.684,-73.79,2.0
40.684,-73.959,2.0
40.684,-73.805,4.0
40.684,-73.86,1.0
40.684,-73.849,1.0
40.684,-73.999,1.0
40.684,-73.958,2.0
40.684,-73.824,1.0
40.684,-73.838,1.0
40.684,-73.775,1.0
40.684,-73.826,1.0
40.684,-73.781,1.0
40.684,-73.931,2.0
40.684,-73.727,1.0
40.684,-73.851,2.0
40.684,-74.002,1.0
40.684,-73.992,2.0
40.684,-73.75,1.0
40.684,-73.796,1.0
40.684,-74.003,2.0
40.684,-73.769,1.0
40.684,-73.878,2.0
40.684,-73.784,2.0
40.684,-73.782,1.0
40.684,-73.966,1.0
40.684,-73.777,1.0
40.684,-73.765,1.0
40.684,-73.858,1.0
40.684,-73.947,1.0
40.756,-73.878,50.0
40.756,-73.87,2.0
40.756,-73.987,113.0
40.756,-73.861,5.0
40.756,-73.881,17.0
40.756,-73.998,14.0
40.756,-74.002,16.0
40.756,-73.885,10.0
40.756,-73.991,325.0
40.756,-73.989,16.0
40.756,-73.901,1.0
40.756,-73.966,13.0
40.756,-73.86,4.0
40.756,-73.883,25.0
40.756,-73.986,84.0
40.756,-73.979,14.0
40.756,-73.913,30.0
40.756,-73.89,3.0
40.756,-73.732,3.0
40.756,-73.948,36.0
40.756,-73.863,9.0
40.756,-73.946,4.0
40.756,-73.834,13.0
40.756,-73.88,10.0
40.756,-73.963,9.0
40.756,-73.977,17.0
40.756,-73.823,14.0
40.756,-73.921,16.0
40.756,-73.993,33.0
40.756,-73.815,11.0
40.756,-73.835,11.0
40.756,-73.832,11.0
40.756,-73.884,13.0
40.756,-73.972,11.0
40.756,-73.877,13.0
40.756,-73.978,20.0
40.756,-73.915,3.0
40.756,-73.942,4.0
40.756,-73.829,33.0
40.756,-73.738,5.0
40.756,-73.967,12.0
40.756,-73.924,6.0
40.756,-73.971,25.0
40.756,-73.83,8.0
40.756,-73.856,4.0
40.756,-73.994,9.0
40.756,-73.872,4.0
40.756,-73.94,5.0
40.756,-73.974,2.0
40.756,-73.936,5.0
40.756,-73.797,2.0
40.756,-73.876,4.0
40.756,-73.917,8.0
40.756,-73.826,3.0
40.756,-73.82,5.0
40.756,-73.812,5.0
40.756,-73.962,3.0
40.756,-73.923,3.0
40.756,-73.882,11.0
40.756,-73.824,7.0
40.756,-73.869,9.0
40.756,-73.934,3.0
40.756,-73.975,8.0
40.756,-73.985,13.0
40.756,-73.825,3.0
40.756,-73.997,20.0
40.756,-73.968,12.0
40.756,-73.939,2.0
40.756,-73.976,1.0
40.756,-73.785,4.0
40.756,-73.864,1.0
40.756,-73.999,2.0
40.756,-73.769,4.0
40.756,-73.945,19.0
40.756,-73.908,7.0
40.756,-73.981,15.0
40.756,-73.919,1.0
40.756,-73.973,7.0
40.756,-73.868,14.0
40.756,-73.886,5.0
40.756,-73.97,2.0
40.756,-73.984,5.0
40.756,-73.969,18.0
40.756,-73.879,5.0
40.756,-73.855,13.0
40.756,-73.943,8.0
40.756,-73.922,3.0
40.756,-73.983,11.0
40.756,-73.873,6.0
40.756,-73.875,1.0
40.756,-73.912,4.0
40.756,-73.905,3.0
40.756,-73.896,5.0
40.756,-73.843,1.0
40.756,-73.935,6.0
40.756,-73.781,1.0
40.756,-73.866,4.0
40.756,-73.961,1.0
40.756,-73.867,3.0
40.756,-73.964,2.0
40.756,-74.006,1.0
40.756,-73.965,3.0
40.756,-73.862,3.0
40.756,-73.773,2.0
40.756,-73.799,1.0
40.756,-73.805,4.0
40.756,-73.821,4.0
40.756,-73.916,3.0
40.756,-73.927,4.0
40.756,-73.721,1.0
40.756,-73.941,4.0
40.756,-73.895,1.0
40.756,-73.899,1.0
40.756,-73.931,3.0
40.756,-73.735,1.0
40.756,-73.887,5.0
40.756,-73.995,4.0
40.756,-73.831,2.0
40.756,-73.859,5.0
40.756,-73.827,1.0
40.756,-73.888,3.0
40.756,-73.928,2.0
40.756,-73.725,2.0
40.756,-73.907,5.0
40.756,-73.784,1.0
40.756,-73.947,1.0
40.756,-73.854,1.0
40.756,-73.929,3.0
40.756,-73.918,3.0
40.756,-73.865,3.0
40.756,-73.871,1.0
40.756,-73.894,4.0
40.756,-73.938,5.0
40.756,-73.763,1.0
40.756,-73.767,4.0
40.756,-73.944,1.0
40.756,-73.833,1.0
40.756,-73.719,1.0
40.756,-73.903,1.0
40.756,-73.874,1.0
40.756,-73.819,1.0
40.756,-73.937,1.0
40.756,-73.891,1.0
40.756,-73.926,1.0
40.756,-73.892,3.0
40.727,-73.953,70.0
40.727,-73.9,1.0
40.727,-73.996,17.0
